ticker,has_early_data,has_recent_data,last_year_with_data
ALPH.SI,True,False,2021.0
ANZO_r.KL^F17,True,False,2022.0
AR.PS,True,False,2019.0
ARMY.JK,True,False,2020.0
AUSG.SI,True,False,2022.0
BLAC.SI,True,False,2021.0
BMM.PS,True,False,2021.0
BMMO_r.SI^B18,True,False,2019.0
BOSS.JK,True,False,2022.0
CACT_r.SI^J17,True,False,2019.0
CALT_r.SI^I17,True,False,2021.0
CBMF.JK,True,False,2022.0
COWL.JK,True,False,2019.0
CPRI.JK,True,False,2021.0
DASI.SI,True,False,2022.0
DEAL.JK,True,False,2022.0
DUCK.JK,True,False,2019.0
EG.PS,True,False,2018.0
ETEL.SI,True,False,2018.0
ETWA.JK,True,False,2022.0
EZRA.SI,True,False,2016.0
FULL.SI,True,False,2016.0
GAMA.JK,True,False,2021.0
GOLL.JK,True,False,2020.0
GYLP_r.SI^F18,True,False,2022.0
HKMU.JK,True,False,2022.0
HMIH_r.SI^C17,True,False,2019.0
HOME.JK,True,False,2019.0
HYFL.F,True,False,2017.0
HYFL.SI,True,False,2017.0
HYFXF.PK,True,False,2017.0
JSKY.JK,True,False,2022.0
KBRI.JK,True,False,2018.0
LCGP.JK,True,False,2020.0
LMAS.JK,True,False,2021.0
MABA.JK,True,False,2019.0
MAGP.JK,True,False,2021.0
MI2.F,True,False,2016.0
MIDA.SI,True,False,2016.0
MJC.PS,True,False,2021.0
MJIC.PS,True,False,2021.0
MTRA.JK,True,False,2021.0
NUSA.JK,True,False,2018.0
NUTR.SI,True,False,2021.0
PLAS.JK,True,False,2019.0
PNX.PS,True,False,2022.0
POOL.JK,True,False,2021.0
PORT.PS,True,False,2018.0
RAFL.SI,True,False,2022.0
REGI.SI,True,False,2020.0
RIMO.JK,True,False,2018.0
SBAT.JK,True,False,2022.0
SCBSETu.BK,True,False,2018.0
SHEY.SI,True,False,2022.0
SIHL_r.SI^C18,True,False,2021.0
SIMA.JK,True,False,2018.0
SKYB.JK,True,False,2018.0
SMAE_r.KL^F15,True,False,2018.0
SUGI.JK,True,False,2017.0
SZRRF.PK,True,False,2016.0
TDPM.JK,True,False,2022.0
TECH.JK,True,False,2022.0
THHE_r.KL^H15,True,False,2021.0
TRAM.JK,True,False,2020.0
TRIL.JK,True,False,2020.0
TRIY.SI,True,False,2017.0
UNIT.JK,True,False,2019.0
UNIV.SI,True,False,2015.0
WITM_r.KL^H15,True,False,2016.0
